no,[Meropenem] in µg/ml,[Avibactam] in µg/ml,[AMA] in µg/ml
1,8,0.5,2
2,8,0.5,1
3,8,0.5,0.5
4,8,0.5,0
5,8,0,4
6,4,0.5,32
7,4,0.5,16
8,4,0.5,8
9,4,0.5,4
10,4,0.5,2
11,4,1,2
12,4,2,1
13,4,4,0.5
14,4,4,0
15,2,0.5,32
16,2,0.5,16
17,2,0.5,8
18,2,0.5,4
19,2,1,2
20,2,2,2
21,2,4,1
22,2,4,0.5
23,2,4,0
24,1,0.5,32
25,1,0.5,16
26,1,0.5,8
27,1,0.5,4
28,1,1,4
29,1,2,4
30,1,4,2
31,1,4,1
32,1,4,0.5
33,1,4,0
34,0.5,0.5,32
35,0.5,0.5,16
36,0.5,0.5,8
37,0.5,0.5,4
38,0.5,1,4
39,0.5,2,4
40,0.5,4,2
41,0.5,4,1
42,0.5,4,0.5
43,0.5,4,0
44,0.25,0.5,32
45,0.25,0.5,16
46,0.25,0.5,8
47,0.25,1,4
48,0.25,2,4
49,0.25,4,2
50,0.25,4,1
51,0.25,4,0.5
52,0.25,4,0
53,0.125,0.5,32
54,0.125,0.5,16
55,0.125,0.5,8
56,0.125,1,4
57,0.125,2,4
58,0.125,4,2
59,0.125,8,1
60,0.125,8,0.5
61,0.125,8,0
62,0,8,32
63,0,8,16
64,0,8,8
65,0,8,4
66,0,8,2
67,0,8,1
68,0,8,0.5
69,0,8,0
