conc	0uM	.25uM	.5uM	1uM	2uM	4uM	8uM	16uM	32uM	64uM	128uM	256uM	512uM	1024uM	2048uM	4096uM
0uM	0.502	0.694	0.478	0.713	0.805	0.776	0.912	0.726	0.694	0.865	0.924	0.686	0.815	0.683	0.679	0.74
.5uM	0.591	0.722	0.589	0.689	0.734	0.677	0.692	0.868	0.892	0.886	0.705	0.734	0.902	0.695	0.753	0.763
1uM	0.504	0.625	0.649	0.642	0.829	0.894	0.872	0.888	0.888	0.857	0.725	0.752	0.901	0.855	0.713	0.861
2uM	0.721	0.486	0.649	0.475	0.575	0.631	0.619	0.568	0.846	0.916	0.687	0.722	0.879	0.888	0.734	0.864
4uM	0.484	0.634	0.605	0.552	0.586	0.526	0.491	0.669	0.869	0.706	0.772	0.857	0.689	0.862	0.767	0.86
8uM	0.726	0.47	0.687	0.531	0.564	0.613	0.543	0.557	0.716	0.781	0.816	0.673	0.79	0.822	0.905	0.824
16uM	0.546	0.678	0.531	0.477	0.674	0.595	0.682	0.484	0.561	0.479	0.704	0.751	0.78	0.837	0.869	0.683
32uM	0.491	0.606	0.475	0.474	0.633	0.5	0.586	0.47	0.722	0.504	0.784	0.674	0.729	0.872	0.889	0.731
64uM	0.527	0.599	0.569	0.534	0.493	0.583	0.576	0.583	0.491	0.671	0.848	0.826	0.694	0.708	0.796	0.918
128uM	0.699	0.722	0.517	0.628	0.553	0.6	0.569	0.634	0.522	0.482	0.902	0.788	0.75	0.778	0.881	0.837
256uM	0.592	0.659	0.583	0.646	0.695	0.628	0.668	0.73	0.501	0.703	0.728	0.913	0.683	0.837	0.768	0.895
512uM	0.799	0.872	0.736	0.851	0.714	0.75	0.698	0.899	0.898	0.703	0.774	0.719	0.852	0.731	0.78	0.734
1024uM	0.861	0.845	0.795	0.716	0.865	0.742	0.748	0.886	0.916	0.927	0.856	0.847	0.823	0.778	0.752	0.922
2048uM	0.83	0.888	0.769	0.922	0.93	0.809	0.723	0.866	0.677	0.923	0.734	0.914	0.865	0.707	0.72	0.82
4096uM	0.751	0.89	0.735	0.904	0.741	0.672	0.853	0.904	0.751	0.893	0.859	0.809	0.695	0.748	0.863	0.72
